name,nickname,country,team,position,age,games_played,time_played,goals,goal_assists,headed_goals,left_foot_goals,right_foot_goals,penalties_taken,penalty_goals,penalties_faced,penalties_saved,total_saves,total_passes,Total_successful_passes,total_unsuccessful_passes,unsuccessful_dribbles,successful_dribbles,clean_sheets,total_shots,tackles_lost,tackles_won,yellow_cards,total_red_cards
Diego PiÃ±eiro del Ãlamo,Diego PiÃ±eiro,ES,Real Madrid,Goalkeeper,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden Hazard,Hazard,BE,Real Madrid,Forward,31,18,713,0,1,0,0,0,0,0,0,0,0,1126,1046,80,6,25,1,9,3,3,2,0
Ã‰der Gabriel MilitÃ£o,E. MilitÃ£o,BR,Real Madrid,Defender,24,34,3033,1,2,1,0,0,0,0,0,0,0,5681,5243,438,9,11,13,26,18,32,5,0
Eduardo Camavinga,Camavinga,FR,Real Madrid,Midfielder,20,26,1229,2,1,0,2,0,0,0,0,0,0,2429,2259,170,10,22,2,10,17,35,9,0
Federico Valverde,Valverde,UY,Real Madrid,Midfielder,24,31,1832,0,1,0,0,0,0,0,0,0,0,3336,3080,256,18,32,4,28,20,16,2,0
Ferland Mendy,F. Mendy,FR,Real Madrid,Defender,27,22,1738,2,1,0,1,1,0,0,0,0,0,3479,3265,214,17,35,5,9,10,14,4,0
Gareth Bale,Bale,GB-WLS,Real Madrid,Forward,33,5,283,1,0,0,1,0,0,0,0,0,0,164,131,33,3,1,0,13,1,1,2,0
Francisco RomÃ¡n AlarcÃ³n SuÃ¡rez,Isco,ES,Real Madrid,Midfielder,30,14,323,1,0,0,0,1,0,0,0,0,0,751,697,54,8,17,0,5,4,5,1,0
JesÃºs Vallejo,Vallejo,ES,Real Madrid,Defender,25,5,342,0,0,0,0,0,0,0,0,0,0,594,537,57,2,2,2,0,2,5,1,0
Juan Miguel Latasa,Latasa,ES,Real Madrid,Forward,21,1,9,0,0,0,0,0,0,0,0,0,0,14,12,2,0,0,0,1,0,0,0,0
Karim Benzema,Benzema,FR,Real Madrid,Forward,34,32,2596,27,12,3,3,20,11,7,0,0,0,3435,3065,370,15,36,8,99,2,9,0,0
Lucas VÃ¡zquez,Lucas V.,ES,Real Madrid,Forward,31,29,1835,3,0,0,2,1,0,0,0,0,0,3935,3591,344,13,18,4,13,21,22,3,0
Luis Federico LÃ³pez AndÃºgar,Luis LÃ³pez,ES,Real Madrid,Goalkeeper,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Jovic,JoviÄ‡,RS,Real Madrid,Forward,24,15,359,1,3,1,0,0,0,0,0,0,0,183,153,30,3,3,0,11,0,1,1,0
Luka Modric,ModriÄ‡,HR,Real Madrid,Midfielder,37,28,2049,2,8,0,1,1,1,1,0,0,0,4729,4368,361,16,32,2,15,8,10,5,0
Marcelo Vieira Da Silva Junior,Marcelo,BR,Real Madrid,Defender,34,12,521,0,2,0,0,0,0,0,0,0,0,1167,1030,137,1,9,2,5,4,4,0,0
Marco Asensio,Asensio,ES,Real Madrid,Midfielder,26,31,1728,10,0,0,8,2,0,0,0,0,0,2350,2094,256,13,27,2,48,4,8,2,0
Mariano DÃ­az MejÃ­a,Mariano,DO,Real Madrid,Forward,29,9,339,1,1,0,1,0,0,0,0,0,0,156,119,37,4,6,0,12,2,0,2,0
Mario Gila,Gila,ES,Real Madrid,Defender,22,2,23,0,0,0,0,0,0,0,0,0,0,62,56,6,0,1,0,0,1,0,0,0
Miguel GutiÃ©rrez,Gutierrez,ES,Real Madrid,Defender,21,3,262,0,1,0,0,0,0,0,0,0,0,449,424,25,3,6,0,0,2,5,1,0
Jose Ignacio Fernandez Iglesias,Nacho,ES,Real Madrid,Defender,32,28,1549,3,0,0,0,3,0,0,0,0,0,2886,2739,147,2,2,4,7,4,14,7,0
Peter Federico Gonzalez Carmona,Peter,ES,Real Madrid,Midfielder,20,3,24,0,0,0,0,0,0,0,0,0,0,46,39,7,0,1,0,2,0,0,0,0
Rafael MarÃ­n Zamora,Rafa Marin,ES,Real Madrid,Defender,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrygo Silva de Goes,Rodrygo,BR,Real Madrid,Forward,21,33,1527,4,4,0,0,4,0,0,0,0,0,1815,1608,207,31,27,1,27,4,14,3,0
Sergio Santos,Santos,ES,Real Madrid,Defender,21,1,10,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0
Thibaut Courtois,Courtois,BE,Real Madrid,Goalkeeper,30,36,3240,0,0,0,0,0,0,0,3,1,93,2456,2062,394,0,0,16,0,1,0,1,0
Toni Fuidias,Fuidias,ES,Real Madrid,Goalkeeper,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toni Kroos,Kroos,DE,Real Madrid,Midfielder,32,28,2108,1,3,0,0,1,0,0,0,0,0,6320,6034,286,8,9,7,35,8,26,4,0
Vinicius JosÃ© PaixÃ£o de Oliveira JÃºnior,Vini Jr.,BR,Real Madrid,Forward,22,35,2699,17,10,2,5,10,0,0,0,0,0,3549,3167,382,114,95,8,62,22,24,6,0
Adnan Januzaj,Januzaj,BE,Real Sociedad,Midfielder,27,33,1625,3,0,0,2,1,2,2,0,0,0,1740,1344,396,33,46,0,25,6,11,5,0
